video_number,fb_status,fb_video_id,publish_time,published_at,fb_error
2,failed,,2026-09-15T12:00:00,2026-09-24T08:28:51.131533,Facebook publish failed - see run logs
2,published,1419443213618071,2026-09-15T12:00:00,2026-09-24T08:39:42.515271,
3,published,2128253214451584,2026-09-24T14:15:00,2026-09-24T18:25:53.601269,
4,published,1614034720301528,2026-09-24T17:15:00,2026-09-24T18:26:10.687104,
5,published,1312796921924339,2026-09-24T20:15:00,2026-09-24T21:50:19.074722,
6,published,1823203888822595,2026-09-24T23:15:00,2026-09-25T00:33:49.986151,
7,published,2321281652037700,2026-09-25T02:15:00,2026-09-25T05:25:51.293921,
8,published,1790380138818768,2026-09-25T05:15:00,2026-09-25T05:26:16.853505,
9,published,1778993140060447,2026-09-25T08:15:00,2026-09-25T10:34:54.136541,
10,published,1611953607376821,2026-09-25T11:15:00,2026-09-25T15:35:01.452666,
11,published,1563441188594132,2026-09-25T14:15:00,2026-09-25T15:35:23.679334,
12,published,4555716454757166,2026-09-25T17:15:00,2026-09-25T19:34:34.733248,
13,published,2189450088653314,2026-09-25T20:15:00,2026-09-25T22:50:09.614710,
14,published,2171162476772375,2026-09-25T23:15:00,2026-09-26T01:35:04.456651,
