video_number,ig_status,ig_container_id,publish_time,published_at,ig_error
3,published,17947514688331828,2026-09-24T14:15:00,2026-09-24T18:16:20.558382,
4,published,17947514847331828,2026-09-24T17:15:00,2026-09-24T18:17:17.901236,
5,published,17947535061331828,2026-09-24T20:15:00,2026-09-24T21:43:35.364672,
6,published,17947547607331828,2026-09-24T23:15:00,2026-09-25T00:19:07.662343,
7,published,17947573551331828,2026-09-25T02:15:00,2026-09-25T05:14:09.660981,
8,published,17947601184331828,2026-09-25T05:15:00,2026-09-25T10:26:30.471815,
9,published,17947601346331828,2026-09-25T08:15:00,2026-09-25T10:27:28.840676,
10,published,17947641915331828,2026-09-25T11:15:00,2026-09-25T15:27:39.743809,
11,published,17947642221331828,2026-09-25T14:15:00,2026-09-25T15:28:37.974469,
12,published,17947674390331828,2026-09-25T17:15:00,2026-09-25T19:28:17.853205,
